0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.000000,0.031712,0.063392,0.095008,0.126529,0.157922,0.189156,0.220201,0.251023,0.281594,0.311881,0.341854,0.371483,0.400739,0.429592,0.458012,0.485972,0.513443,0.540397,0.566808,0.592649,0.617893,0.642516,0.666493,0.689800,0.712412,0.734308,0.755465,0.775862,0.795479,0.814296,0.832294,0.849454,0.865760,0.881195,0.895744,0.909391,0.922124,0.933930,0.944795,0.954711,0.963666,0.971652,0.978661,0.984685,0.989718,0.993756,0.996795,0.998830,0.999861,0.999887,0.998906,0.996921,0.993933,0.989945,0.984961,0.978987,0.972027,0.964090,0.955184,0.945316,0.934498,0.922739,0.910053,0.896451,0.881947,0.866556,0.850293,0.833175,0.815219,0.796443,0.776866,0.756508,0.735388,0.713529,0.690952,0.667680,0.643736,0.619145,0.593931,0.568119,0.541737,0.514809,0.487363,0.459427,0.431029,0.402198,0.372961,0.343350,0.313393,0.283121,0.252565,0.221754,0.190720,0.159494,0.128108,0.096593,0.064981,0.033304,0.001593
0.000000,0.031680,0.063328,0.094913,0.126402,0.157764,0.188967,0.219980,0.250772,0.281312,0.311569,0.341512,0.371112,0.400338,0.429162,0.457554,0.485486,0.512929,0.539857,0.566241,0.592056,0.617275,0.641874,0.665826,0.689109,0.711699,0.733573,0.754709,0.775086,0.794683,0.813481,0.831461,0.848604,0.864894,0.880313,0.894847,0.908481,0.921202,0.932995,0.943850,0.953756,0.962702,0.970680,0.977681,0.983699,0.988728,0.992762,0.995797,0.997831,0.998861,0.998886,0.997907,0.995923,0.992938,0.988954,0.983976,0.978007,0.971055,0.963126,0.954228,0.944370,0.933563,0.921816,0.909142,0.895554,0.881064,0.865689,0.849442,0.832342,0.814404,0.795646,0.776089,0.755751,0.734652,0.712815,0.690260,0.667012,0.643092,0.618525,0.593337,0.567551,0.541195,0.514294,0.486876,0.458968,0.430598,0.401795,0.372588,0.343007,0.313080,0.282838,0.252312,0.221532,0.190529,0.159335,0.127980,0.096497,0.064916,0.033270,0.001591
0.000007,0.031648,0.063265,0.094818,0.126276,0.157606,0.188778,0.219760,0.250521,0.281030,0.311257,0.341170,0.370740,0.399937,0.428732,0.457096,0.485000,0.512416,0.539316,0.565674,0.591464,0.616658,0.641231,0.665160,0.688420,0.710987,0.732839,0.753954,0.774311,0.793888,0.812667,0.830629,0.847755,0.864028,0.879433,0.893952,0.907572,0.920280,0.932062,0.942906,0.952802,0.961739,0.969709,0.976703,0.982715,0.987739,0.991769,0.994801,0.996833,0.997862,0.997887,0.996908,0.994927,0.991945,0.987965,0.982991,0.977029,0.970083,0.962162,0.953273,0.943425,0.932629,0.920894,0.908232,0.894658,0.880183,0.864823,0.848593,0.831509,0.813589,0.794850,0.775312,0.754995,0.733917,0.712102,0.689570,0.666344,0.642449,0.617907,0.592743,0.566983,0.540653,0.513779,0.486388,0.458508,0.430167,0.401393,0.372216,0.342663,0.312767,0.282555,0.252060,0.221310,0.190339,0.159175,0.127852,0.096400,0.064851,0.033237,0.001597
0.000007,0.031617,0.063202,0.094723,0.126149,0.157448,0.188589,0.219540,0.250271,0.280749,0.310945,0.340829,0.370369,0.399537,0.428303,0.456639,0.484515,0.511903,0.538777,0.565109,0.590872,0.616041,0.640590,0.664495,0.687731,0.710276,0.732106,0.753200,0.773536,0.793094,0.811854,0.829798,0.846907,0.863164,0.878553,0.893058,0.906664,0.919359,0.931129,0.941962,0.951848,0.960777,0.968739,0.975726,0.981732,0.986750,0.990776,0.993806,0.995835,0.996863,0.996888,0.995911,0.993931,0.990952,0.986976,0.982008,0.976051,0.969113,0.961200,0.952320,0.942482,0.931696,0.919972,0.907324,0.893763,0.879302,0.863957,0.847744,0.830677,0.812775,0.794055,0.774537,0.754239,0.733183,0.711389,0.688880,0.665678,0.641806,0.617288,0.592150,0.566416,0.540112,0.513265,0.485902,0.458050,0.429737,0.400992,0.371843,0.342321,0.312454,0.282273,0.251807,0.221089,0.190148,0.159016,0.127724,0.096304,0.064786,0.033204,0.001595
0.000007,0.031585,0.063138,0.094628,0.126023,0.157291,0.188401,0.219321,0.250020,0.280468,0.310634,0.340488,0.369999,0.399138,0.427875,0.456182,0.484030,0.511391,0.538238,0.564543,0.590281,0.615424,0.639949,0.663830,0.687043,0.709565,0.731374,0.752446,0.772762,0.792300,0.811042,0.828968,0.846059,0.862300,0.877674,0.892164,0.905757,0.918439,0.930198,0.941020,0.950896,0.959815,0.967769,0.974750,0.980750,0.985763,0.989785,0.992811,0.994839,0.995866,0.995891,0.994914,0.992937,0.989961,0.985989,0.981025,0.975075,0.968143,0.960238,0.951367,0.941539,0.930763,0.919052,0.906416,0.892868,0.878422,0.863093,0.846895,0.829846,0.811962,0.793261,0.773762,0.753485,0.732449,0.710677,0.688191,0.665012,0.641164,0.616671,0.591558,0.565849,0.539572,0.512752,0.485416,0.457591,0.429307,0.400590,0.371471,0.341978,0.312141,0.281990,0.251556,0.220868,0.189958,0.158857,0.127596,0.096207,0.064722,0.033171,0.001593
0.000007,0.031554,0.063075,0.094534,0.125897,0.157134,0.188212,0.219101,0.249770,0.280188,0.310324,0.340147,0.369629,0.398738,0.427447,0.455725,0.483546,0.510879,0.537699,0.563978,0.589690,0.614809,0.639309,0.663166,0.686356,0.708855,0.730642,0.751693,0.771989,0.791508,0.810231,0.828138,0.845213,0.861438,0.876796,0.891272,0.904851,0.917520,0.929267,0.940079,0.949945,0.958855,0.966801,0.973775,0.979769,0.984777,0.988795,0.991818,0.993844,0.994870,0.994895,0.993919,0.991944,0.988970,0.985002,0.980044,0.974099,0.967175,0.959277,0.950415,0.940597,0.929832,0.918132,0.905509,0.891975,0.877544,0.862230,0.846048,0.829016,0.811149,0.792467,0.772988,0.752731,0.731717,0.709966,0.687502,0.664346,0.640522,0.616054,0.590966,0.565283,0.539032,0.512239,0.484930,0.457134,0.428877,0.400190,0.371099,0.341636,0.311829,0.281708,0.251304,0.220647,0.189768,0.158698,0.127469,0.096111,0.064657,0.033137,0.001592
0.000007,0.031522,0.063012,0.094439,0.125771,0.156976,0.188024,0.218882,0.249520,0.279907,0.310013,0.339807,0.369259,0.398339,0.427019,0.455269,0.483062,0.510368,0.537161,0.563414,0.589100,0.614193,0.638669,0.662502,0.685669,0.708146,0.729911,0.750941,0.771217,0.790716,0.809420,0.827310,0.844367,0.860576,0.875918,0.890380,0.903946,0.916603,0.928337,0.939138,0.948994,0.957896,0.965834,0.972800,0.978788,0.983792,0.987806,0.990826,0.992849,0.993874,0.993899,0.992925,0.990951,0.987981,0.984017,0.979063,0.973124,0.966207,0.958317,0.949464,0.939656,0.928902,0.917214,0.904603,0.891083,0.876666,0.861367,0.845202,0.828186,0.810338,0.791674,0.772214,0.751978,0.730985,0.709256,0.686814,0.663682,0.639881,0.615437,0.590374,0.564718,0.538493,0.511726,0.484445,0.456676,0.428448,0.399789,0.370728,0.341294,0.311517,0.281426,0.251052,0.220426,0.189578,0.158539,0.127341,0.096015,0.064592,0.033104,0.001590
0.000007,0.031491,0.062949,0.094345,0.125645,0.156819,0.187836,0.218663,0.249271,0.279627,0.309703,0.339467,0.368889,0.397941,0.426592,0.454814,0.482579,0.509858,0.536624,0.562850,0.588511,0.613579,0.638030,0.661839,0.684983,0.707438,0.729181,0.750190,0.770445,0.789925,0.808610,0.826482,0.843523,0.859715,0.875042,0.889489,0.903041,0.915685,0.927408,0.938198,0.948045,0.956937,0.964868,0.971827,0.977809,0.982807,0.986817,0.989834,0.991856,0.992880,0.992905,0.991931,0.989960,0.986993,0.983032,0.978084,0.972151,0.965240,0.957359,0.948514,0.938715,0.927973,0.916296,0.903698,0.890191,0.875789,0.860505,0.844356,0.827358,0.809527,0.790882,0.771442,0.751225,0.730253,0.708547,0.686127,0.663018,0.639241,0.614822,0.589784,0.564153,0.537954,0.511214,0.483960,0.456219,0.428020,0.399389,0.370357,0.340953,0.311205,0.281145,0.250801,0.220206,0.189388,0.158381,0.127214,0.095919,0.064527,0.033071,0.001589
0.000007,0.031459,0.062886,0.094250,0.125519,0.156662,0.187648,0.218444,0.249021,0.279348,0.309393,0.339127,0.368520,0.397543,0.426165,0.454359,0.482096,0.509348,0.536087,0.562287,0.587922,0.612965,0.637392,0.661177,0.684298,0.706730,0.728451,0.749439,0.769674,0.789134,0.807801,0.825655,0.842679,0.858855,0.874167,0.888599,0.902138,0.914769,0.926481,0.937260,0.947096,0.955980,0.963902,0.970855,0.976831,0.981824,0.985830,0.988844,0.990864,0.991886,0.991912,0.990939,0.988969,0.986005,0.982049,0.977105,0.971178,0.964274,0.956401,0.947565,0.937776,0.927044,0.915379,0.902794,0.889300,0.874912,0.859644,0.843511,0.826530,0.808717,0.790091,0.770670,0.750474,0.729523,0.707838,0.685441,0.662354,0.638602,0.614207,0.589194,0.563588,0.537416,0.510703,0.483476,0.455763,0.427591,0.398990,0.369987,0.340612,0.310894,0.280863,0.250550,0.219985,0.189199,0.158222,0.127087,0.095823,0.064463,0.033038,0.001587
0.000007,0.031428,0.062823,0.094156,0.125394,0.156506,0.187460,0.218226,0.248772,0.279068,0.309084,0.338788,0.368152,0.397145,0.425739,0.453904,0.481613,0.508838,0.535551,0.561725,0.587334,0.612352,0.636754,0.660516,0.683613,0.706023,0.727722,0.748690,0.768904,0.788345,0.806993,0.824829,0.841836,0.857995,0.873292,0.887710,0.901235,0.913854,0.925554,0.936322,0.946149,0.955024,0.962938,0.969883,0.975853,0.980842,0.984844,0.987855,0.989872,0.990894,0.990919,0.989947,0.987980,0.985019,0.981066,0.976127,0.970207,0.963310,0.955444,0.946617,0.936838,0.926117,0.914464,0.901891,0.888411,0.874037,0.858784,0.842667,0.825703,0.807908,0.789300,0.769899,0.749723,0.728793,0.707129,0.684755,0.661692,0.637963,0.613592,0.588604,0.563024,0.536878,0.510192,0.482992,0.455307,0.427164,0.398591,0.369617,0.340271,0.310583,0.280582,0.250300,0.219765,0.189010,0.158064,0.126959,0.095727,0.064398,0.033005,0.001586
0.000007,0.031396,0.062760,0.094062,0.125268,0.156349,0.187272,0.218007,0.248523,0.278789,0.308774,0.338449,0.367783,0.396748,0.425313,0.453450,0.481132,0.508329,0.535015,0.561163,0.586746,0.611739,0.636117,0.659855,0.682929,0.705316,0.726994,0.747941,0.768135,0.787556,0.806186,0.824004,0.840993,0.857137,0.872418,0.886822,0.900334,0.912940,0.924628,0.935385,0.945202,0.954068,0.961974,0.968913,0.974877,0.979861,0.983858,0.986867,0.988882,0.989903,0.989928,0.988957,0.986991,0.984033,0.980085,0.975151,0.969236,0.962346,0.954488,0.945670,0.935901,0.925190,0.913549,0.900988,0.887522,0.873163,0.857925,0.841824,0.824877,0.807100,0.788511,0.769129,0.748973,0.728064,0.706422,0.684070,0.661030,0.637324,0.612978,0.588015,0.562461,0.536341,0.509681,0.482509,0.454851,0.426736,0.398192,0.369247,0.339930,0.310272,0.280302,0.250049,0.219545,0.188821,0.157906,0.126832,0.095631,0.064334,0.032972,0.001584
0.000008,0.031365,0.062698,0.093968,0.125143,0.156193,0.187085,0.217789,0.248275,0.278510,0.308465,0.338110,0.367415,0.396351,0.424887,0.452997,0.480650,0.507820,0.534480,0.560601,0.586159,0.611127,0.635481,0.659195,0.682246,0.704611,0.726267,0.747192,0.767366,0.786768,0.805379,0.823179,0.840152,0.856279,0.871545,0.885935,0.899433,0.912026,0.923703,0.934449,0.944256,0.953114,0.961012,0.967944,0.973902,0.978880,0.982874,0.985879,0.987893,0.988912,0.988937,0.987968,0.986004,0.983049,0.979104,0.974175,0.968266,0.961383,0.953533,0.944724,0.934964,0.924264,0.912635,0.900087,0.886634,0.872289,0.857067,0.840982,0.824052,0.806292,0.787722,0.768359,0.748223,0.727335,0.705715,0.683385,0.660368,0.636687,0.612365,0.587427,0.561898,0.535804,0.509171,0.482026,0.454396,0.426309,0.397793,0.368877,0.339590,0.309962,0.280021,0.249799,0.219326,0.188632,0.157748,0.126705,0.095536,0.064270,0.032939,0.001583
0.000008,0.031334,0.062635,0.093874,0.125018,0.156036,0.186898,0.217571,0.248026,0.278231,0.308157,0.337772,0.367048,0.395954,0.424462,0.452543,0.480169,0.507312,0.533945,0.560040,0.585573,0.610516,0.634845,0.658535,0.681563,0.703906,0.725540,0.746445,0.766599,0.785981,0.804573,0.822356,0.839311,0.855423,0.870673,0.885048,0.898533,0.911114,0.922778,0.933515,0.943312,0.952160,0.960051,0.966975,0.972927,0.977901,0.981891,0.984893,0.986904,0.987923,0.987948,0.986979,0.985017,0.982065,0.978125,0.973201,0.967297,0.960421,0.952579,0.943779,0.934029,0.923340,0.911722,0.899187,0.885747,0.871416,0.856209,0.840141,0.823227,0.805486,0.786934,0.767590,0.747475,0.726607,0.705009,0.682702,0.659708,0.636050,0.611752,0.586839,0.561336,0.535268,0.508662,0.481544,0.453942,0.425883,0.397395,0.368508,0.339251,0.309651,0.279741,0.249549,0.219106,0.188443,0.157590,0.126579,0.095440,0.064205,0.032906,0.001581
0.000008,0.031302,0.062572,0.093780,0.124893,0.155880,0.186711,0.217354,0.247778,0.277953,0.307848,0.337434,0.366680,0.395558,0.424038,0.452091,0.479689,0.506805,0.533411,0.559480,0.584987,0.609905,0.634210,0.657876,0.680881,0.703202,0.724814,0.745698,0.765832,0.785195,0.803768,0.821533,0.838472,0.854567,0.869802,0.884163,0.897634,0.910202,0.921855,0.932581,0.942368,0.951207,0.959090,0.966008,0.971954,0.976923,0.980908,0.983907,0.985917,0.986935,0.986959,0.985992,0.984032,0.981083,0.977146,0.972227,0.966330,0.959460,0.951626,0.942835,0.933095,0.922416,0.910810,0.898287,0.884861,0.870544,0.855352,0.839300,0.822404,0.804680,0.786146,0.766822,0.746727,0.725881,0.704304,0.682019,0.659048,0.635413,0.611140,0.586252,0.560775,0.534733,0.508153,0.481062,0.453488,0.425457,0.396998,0.368140,0.338911,0.309342,0.279461,0.249299,0.218887,0.188254,0.157432,0.126452,0.095345,0.064141,0.032874,0.001580
0.000008,0.031271,0.062510,0.093686,0.124768,0.155724,0.186524,0.217136,0.247530,0.277675,0.307540,0.337097,0.366314,0.395162,0.423613,0.451638,0.479209,0.506298,0.532877,0.558920,0.584401,0.609295,0.633575,0.657218,0.680200,0.702498,0.724089,0.744952,0.765065,0.784409,0.802964,0.820711,0.837633,0.853712,0.868932,0.883278,0.896736,0.909292,0.920933,0.931648,0.941425,0.950256,0.958130,0.965041,0.970982,0.975945,0.979927,0.982923,0.984930,0.985947,0.985972,0.985005,0.983047,0.980101,0.976169,0.971254,0.965363,0.958501,0.950674,0.941891,0.932161,0.921493,0.909898,0.897388,0.883975,0.869673,0.854497,0.838460,0.821581,0.803875,0.785360,0.766055,0.745980,0.725154,0.703599,0.681336,0.658388,0.634778,0.610529,0.585666,0.560213,0.534198,0.507645,0.480581,0.453034,0.425031,0.396601,0.367771,0.338572,0.309032,0.279182,0.249050,0.218668,0.188066,0.157275,0.126326,0.095249,0.064077,0.032841,0.001578
0.000008,0.031240,0.062447,0.093592,0.124643,0.155569,0.186338,0.216919,0.247282,0.277397,0.307233,0.336759,0.365947,0.394767,0.423189,0.451186,0.478730,0.505791,0.532344,0.558361,0.583817,0.608685,0.632941,0.656561,0.679520,0.701795,0.723365,0.744207,0.764300,0.783624,0.802161,0.819890,0.836795,0.852858,0.868063,0.882395,0.895839,0.908382,0.920011,0.930715,0.940483,0.949305,0.957172,0.964076,0.970010,0.974969,0.978947,0.981940,0.983945,0.984961,0.984986,0.984020,0.982064,0.979120,0.975192,0.970283,0.964397,0.957542,0.949723,0.940949,0.931228,0.920571,0.908988,0.896490,0.883091,0.868803,0.853642,0.837622,0.820759,0.803070,0.784574,0.765289,0.745234,0.724429,0.702895,0.680655,0.657730,0.634143,0.609918,0.585080,0.559653,0.533663,0.507137,0.480100,0.452581,0.424606,0.396204,0.367403,0.338233,0.308723,0.278902,0.248801,0.218449,0.187878,0.157118,0.126199,0.095154,0.064013,0.032808,0.001577
0.000008,0.031209,0.062385,0.093498,0.124518,0.155413,0.186151,0.216702,0.247035,0.277120,0.306925,0.336422,0.365581,0.394372,0.422766,0.450735,0.478251,0.505285,0.531811,0.557803,0.583233,0.608076,0.632308,0.655904,0.678840,0.701093,0.722641,0.743462,0.763535,0.782840,0.801358,0.819070,0.835958,0.852004,0.867194,0.881512,0.894943,0.907473,0.919091,0.929784,0.939542,0.948355,0.956214,0.963111,0.969040,0.973993,0.977967,0.980957,0.982961,0.983975,0.984000,0.983035,0.981081,0.978141,0.974216,0.969312,0.963432,0.956584,0.948773,0.940007,0.930297,0.919650,0.908079,0.895593,0.882208,0.867934,0.852788,0.836784,0.819938,0.802267,0.783789,0.764523,0.744488,0.723704,0.702192,0.679974,0.657071,0.633508,0.609308,0.584494,0.559093,0.533129,0.506629,0.479620,0.452128,0.424181,0.395807,0.367036,0.337895,0.308414,0.278623,0.248552,0.218231,0.187690,0.156960,0.126073,0.095059,0.063949,0.032775,0.001575
